arquivo,antena,unidade,teste,ensaio,tempo_s,status,latencia_ms,rssi_link_dbm,channel_burst,bssid_burst
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,0.0,OK,4.17,-55.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,4.118,OK,11.37,-56.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,8.267,OK,17.08,-57.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,12.424,OK,4.13,-59.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,16.554,OK,3.99,-56.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,20.694,OK,4.95,-63.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,24.958,OK,3.95,-57.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,29.107,OK,8.23,-58.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,33.259,OK,8.13,-57.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,37.417,OK,8.37,-46.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,41.553,OK,4.01,-38.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,45.678,OK,3.74,-37.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,49.833,OK,7.88,-36.0,11,84:0B:BB:2A:35:70
Ping_A0_U1_T1.txt,A0,U1,T1,A0_U1_T1,53.965,OK,3.78,-37.0,11,84:0B:BB:2A:35:70
