arquivo,basename,antena,unidade,teste,ensaio,tempo_abs_ms,tempo_rel_s,status,latencia_ms,ip,channel,bssid,rssi_link_dbm,reason
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,17216,0.0,OK,19.45,192.168.15.1,11,84:0B:BB:2A:35:70,-59.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,21313,4.097,OK,6.9,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,25449,8.233,OK,14.51,192.168.15.1,11,84:0B:BB:2A:35:70,-45.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,29710,12.494,OK,28.11,192.168.15.1,11,84:0B:BB:2A:35:70,-47.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,34114,16.898,OK,57.4,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,38295,21.079,OK,14.34,192.168.15.1,11,84:0B:BB:2A:35:70,-46.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,42489,25.273,OK,15.51,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,46752,29.536,OK,3.59,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,50869,33.653,OK,3.11,192.168.15.1,11,84:0B:BB:2A:35:70,-43.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,55032,37.816,OK,9.32,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
Ping_A4_U1_T1.txt,Ping_A4_U1_T1,A4,U1,T1,A4_U1_T1,59181,41.965,OK,7.99,192.168.15.1,11,84:0B:BB:2A:35:70,-44.0,
