fase,antena,unidade,cenario,teste,arquivo,sample_idx,rssi
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,1,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,2,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,3,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,4,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,5,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,6,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,7,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,8,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,9,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,10,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,11,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,12,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,13,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,14,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,15,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,16,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,17,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,18,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,19,-54
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,20,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,21,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,22,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,23,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,24,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,25,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,26,-54
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,27,-55
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,28,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,29,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,30,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,31,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,32,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1.txt,33,-51
