arquivo,basename,fase,antena,unidade,cenario,teste,disconnects,total_lines,canal_medio,bssids,n,mean,std,min,max,median,p10,p90,label
A0_R1,A0_R1,Fase 1,A0,U1,BASE,T1,0,362,,,360,-44.05833333333333,1.2193598484907648,-50.0,-40.0,-44.0,-45.0,-43.0,A0_U1_BASE_T1
A0_CASE1,A0_CASE1,Fase 1,A0,U1,CASE,T1,0,182,,,182,-56.65934065934066,5.4635300757692296,-66.0,-48.0,-57.5,-64.0,-50.0,A0_U1_CASE_T1
A1_R1,A1_R1,Fase 1,A1,U1,BASE,T1,0,184,,,182,-37.934065934065934,2.6935658872577903,-56.0,-32.0,-38.0,-40.0,-35.0,A1_U1_BASE_T1
A1_CASE1.txt,A1_CASE1,Fase 1,A1,U1,CASE,T1,0,182,,,182,-58.08791208791209,3.51680527943249,-66.0,-49.0,-57.0,-63.0,-54.0,A1_U1_CASE_T1
A1_R2,A1_R2,Fase 1,A1,U2,BASE,T1,0,188,,,186,-34.516129032258064,2.2546667673759084,-53.0,-31.0,-34.0,-36.0,-32.0,A1_U2_BASE_T1
A1_R3,A1_R3,Fase 1,A1,U3,BASE,T1,0,184,,,182,-31.708791208791208,1.4211619517781766,-35.0,-28.0,-32.0,-33.0,-30.0,A1_U3_BASE_T1
A3_R1,A3_R1,Fase 1,A3,U1,BASE,T1,0,190,,,188,-40.34574468085106,2.808054301683196,-53.0,-36.0,-40.0,-43.0,-38.69999999999999,A3_U1_BASE_T1
A3_CASE1.txt,A3_CASE1,Fase 1,A3,U1,CASE,T1,0,182,,,182,-60.13186813186813,2.2135134503023512,-75.0,-52.0,-59.0,-62.0,-58.0,A3_U1_CASE_T1
A3_R2,A3_R2,Fase 1,A3,U2,BASE,T1,0,183,,,181,-39.790055248618785,1.7127335192731368,-51.0,-34.0,-40.0,-41.0,-38.0,A3_U2_BASE_T1
A3_R3,A3_R3,Fase 1,A3,U3,BASE,T1,0,189,,,187,-40.16577540106952,0.9996261735861667,-45.0,-38.0,-40.0,-41.0,-39.0,A3_U3_BASE_T1
A4_R1,A4_R1,Fase 1,A4,U1,BASE,T1,0,191,,,190,-37.99473684210526,1.3782028341556374,-46.0,-35.0,-38.0,-39.0,-37.0,A4_U1_BASE_T1
A4_CASE1.txt,A4_CASE1,Fase 1,A4,U1,CASE,T1,0,182,,,182,-46.68131868131868,7.432018413525769,-68.0,-38.0,-44.0,-58.9,-41.0,A4_U1_CASE_T1
A4_U1_T1.txt,A4_U1_T1,Fase 2,A4,U1,CASE,T1,0,208,11.0,84:0B:BB:2A:35:70,178,-45.20224719101124,0.9349434289771468,-49.0,-43.0,-45.0,-46.0,-44.0,A4_U1_CASE_T1
