fase,antena,unidade,cenario,teste,arquivo,sample_idx,rssi
Fase 1,A0,U1,CASE,T1,A0_CASE1,1,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,2,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,3,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,4,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,5,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,6,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,7,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,8,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,9,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,10,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,11,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,12,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,13,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,14,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,15,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,16,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,17,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,18,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1,19,-54
Fase 1,A0,U1,CASE,T1,A0_CASE1,20,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1,21,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1,22,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,23,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,24,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,25,-53
Fase 1,A0,U1,CASE,T1,A0_CASE1,26,-54
Fase 1,A0,U1,CASE,T1,A0_CASE1,27,-55
Fase 1,A0,U1,CASE,T1,A0_CASE1,28,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,29,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,30,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,31,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,32,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,33,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,34,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,35,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,36,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,37,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,38,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,39,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,40,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,41,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,42,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,43,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,44,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,45,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,46,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,47,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,48,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,49,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,50,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,51,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,52,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,53,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,54,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,55,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,56,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,57,-52
Fase 1,A0,U1,CASE,T1,A0_CASE1,58,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,59,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,60,-50
Fase 1,A0,U1,CASE,T1,A0_CASE1,61,-51
Fase 1,A0,U1,CASE,T1,A0_CASE1,62,-51
