timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
645974,E,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,0,0,0.00,0,0,0.0000,0,0.0,0,26,645974,,0,START_RUN,crc16=BBA8
646239,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-70,1,3.21,0,0,0.0000,1562,36.7,1,26,646239,,0,,crc16=D5C7
646737,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-70,1,2.94,1,0,0.0000,1562,36.7,1,26,646737,,0,,crc16=D0C5
647239,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-71,1,4.49,2,0,0.0000,1562,36.1,1,26,647239,,0,,crc16=6808
647738,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,4.40,3,0,0.0000,1562,36.1,1,26,647738,,0,,crc16=FE5C
648234,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-70,1,1.74,4,0,0.0000,1562,36.7,1,26,648234,,0,,crc16=C335
648735,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-68,1,2.95,5,0,0.0000,1562,36.7,1,26,648735,,0,,crc16=2AD2
649237,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,4.40,6,0,0.0000,1562,36.7,1,26,649237,,0,,crc16=CC5E
649735,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,4.20,7,0,0.0000,1562,36.7,1,26,649735,,0,,crc16=C669
650233,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-70,1,3.24,8,0,0.0000,1562,36.7,1,26,650233,,0,,crc16=CE93
650733,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-71,1,2.96,9,0,0.0000,1562,36.7,1,26,650733,,0,,crc16=FBF4
651238,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-72,1,6.20,10,0,0.0000,1562,37.2,1,26,651238,,0,,crc16=F9F0
651735,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-72,1,4.45,11,0,0.0000,1562,37.2,1,26,651735,,0,,crc16=AD40
652232,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-72,1,2.91,12,0,0.0000,1562,36.1,1,26,652232,,0,,crc16=E7D5
652732,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-71,1,2.87,13,0,0.0000,1562,36.1,1,26,652732,,0,,crc16=DF36
653232,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-72,1,4.34,14,0,0.0000,1562,36.7,1,26,653232,,0,,crc16=E7A7
653730,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-72,1,2.88,15,0,0.0000,1562,36.7,1,26,653730,,0,,crc16=3ADC
654229,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-70,1,1.87,16,0,0.0000,1562,36.7,1,26,654229,,0,,crc16=8E4B
654730,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-70,1,2.88,17,0,0.0000,1562,36.7,1,26,654730,,0,,crc16=9F98
655229,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-67,1,2.97,18,0,0.0000,1562,36.7,1,26,655229,,0,,crc16=66C6
655729,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-67,1,2.92,19,0,0.0000,1562,36.7,1,26,655729,,0,,crc16=3255
656229,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-68,1,2.91,20,0,0.0000,1562,36.1,1,26,656229,,0,,crc16=0086
656729,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-68,1,2.94,21,0,0.0000,1562,36.1,1,26,656729,,0,,crc16=5415
657229,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-68,1,2.58,22,0,0.0000,1562,37.2,1,26,657229,,0,,crc16=666E
657731,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-72,1,5.89,23,0,0.0000,1562,37.2,1,26,657731,,0,,crc16=D18B
658229,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-68,1,4.18,24,0,0.0000,1562,36.7,1,26,658229,,0,,crc16=0B71
658728,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,2.98,25,0,0.0000,1562,36.7,1,26,658728,,0,,crc16=7D2E
659229,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,4.24,26,0,0.0000,1562,36.1,1,26,659229,,0,,crc16=58EE
659729,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,3.50,27,0,0.0000,1562,36.1,1,26,659729,,0,,crc16=F392
660230,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,5.90,28,0,0.0000,1562,37.2,1,26,660230,,0,,crc16=7631
660727,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,2.80,29,0,0.0000,1562,37.2,1,26,660727,,0,,crc16=33B9
661227,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,2.39,30,0,0.0000,1562,37.2,1,26,661227,,0,,crc16=0727
661728,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,4.62,31,0,0.0000,1562,37.2,1,26,661728,,0,,crc16=B369
662225,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,2.96,32,0,0.0000,1562,36.1,1,26,662225,,0,,crc16=4440
662725,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,2.95,33,0,0.0000,1562,36.1,1,26,662725,,0,,crc16=C72F
663228,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-69,1,5.34,34,0,0.0000,1562,37.2,1,26,663228,,0,,crc16=24FC
663724,S,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,-68,1,2.90,35,0,0.0000,1562,37.2,1,26,663724,,0,,crc16=198F
663924,E,B,F1,A41,TETO,LIG,WALK_A41_TETO_LIG_R01,0,0,0.00,0,0,0.0000,0,0.0,0,26,663924,,0,END_RUN,crc16=F8D8
