timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
42770,E,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,0,0,0.00,0,0,0.0000,0,0.0,0,35,42770,,1,START_RUN,crc16=B212
42772,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,0,0,0.00,0,0,0.0000,0,0.0,0,35,42772,,1,BLOCK1,crc16=1AC0
61906,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-52,1,56.58,0,0,10.0000,1562,35.0,1,35,61906,,1,,crc16=B3D9
80583,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-53,1,136.61,1,0,6.6667,1562,35.6,1,35,80583,,1,,crc16=B77F
99202,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-53,1,15.66,2,0,30.0000,1562,35.6,1,35,99202,,1,,crc16=BA21
117237,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-50,1,73.19,3,0,5.8824,1562,35.6,1,35,117237,,1,,crc16=1D2A
117238,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,0,0,0.00,0,0,0.0000,0,0.0,0,35,117238,,2,BLOCK2,crc16=32E1
136245,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-51,1,107.65,4,0,7.1429,1562,36.1,1,35,136245,,2,,crc16=E3A8
154511,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-50,1,55.14,5,0,15.3846,1562,36.7,1,35,154511,,2,,crc16=0031
173126,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-54,1,117.36,6,0,18.1818,1562,36.1,1,35,173126,,2,,crc16=B28D
191157,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-53,1,52.32,7,0,18.1818,1562,35.6,1,35,191157,,2,,crc16=26D9
191158,B,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,0,0,0.00,0,0,0.0000,0,0.0,0,35,191158,,3,BLOCK3,crc16=467D
210100,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-56,1,50.91,8,0,18.1818,1562,36.1,1,35,210100,,3,,crc16=4B23
228346,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-52,1,94.34,9,0,6.2500,1562,35.6,1,35,228346,,3,,crc16=DA49
246402,S,A,F3B,A51,MESA,DES,BURN_A51_MESA_DES_R05,-52,1,44.44,10,0,16.6667,1562,35.6,1,35,246402,,3,,crc16=D62A
