timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
1667726,E,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,25,1667726,,0,START_RUN,crc16=94FF
1667761,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-61,1,1.76,0,0,0.0000,1562,36.7,1,25,1667761,,0,,crc16=9BD6
1668762,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-61,1,2.93,1,0,0.0000,1562,36.1,1,25,1668762,,0,,crc16=3289
1669762,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-61,1,2.96,2,0,0.0000,1562,37.2,1,25,1669762,,0,,crc16=8D54
1670762,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-67,1,3.00,3,0,0.0000,1562,36.1,1,25,1670762,,0,,crc16=FC2D
1671762,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-60,1,2.93,4,0,0.0000,1562,36.1,1,25,1671762,,0,,crc16=07BE
1672762,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-70,1,2.84,5,0,0.0000,1562,37.2,1,25,1672762,,0,,crc16=5B02
1673762,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-62,1,2.97,6,0,0.0000,1562,36.1,1,25,1673762,,0,,crc16=51B6
1674764,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-61,1,5.04,7,0,0.0000,1562,36.7,1,25,1674764,,0,,crc16=3E92
1675763,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-62,1,3.26,8,0,0.0000,1562,37.2,1,25,1675763,,0,,crc16=81D3
1676761,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-61,1,2.89,9,0,0.0000,1562,37.2,1,25,1676761,,0,,crc16=E476
1677761,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-60,1,2.97,10,0,0.0000,1562,36.1,1,25,1677761,,0,,crc16=6F28
1678761,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-60,1,2.83,11,0,0.0000,1562,37.2,1,25,1678761,,0,,crc16=1EE2
1679764,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-79,1,5.63,12,0,0.0000,1562,36.7,1,25,1679764,,0,,crc16=7D36
1680763,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-76,1,5.93,13,0,0.0000,1562,36.7,1,25,1680763,,0,,crc16=1EEC
1681760,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-64,1,2.92,14,0,0.0000,1562,37.2,1,25,1681760,,0,,crc16=E344
1682760,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-59,1,2.94,15,0,0.0000,1562,36.7,1,25,1682760,,0,,crc16=F577
1683481,M,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,25,1683481,LIVRE,0,LIVRE,crc16=1526
1683760,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-64,1,2.87,16,0,0.0000,1562,36.1,1,25,1683760,LIVRE,0,,crc16=ABB0
1684760,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-65,1,2.51,17,0,0.0000,1562,37.2,1,25,1684760,LIVRE,0,,crc16=A07B
1685759,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-65,1,2.88,18,0,0.0000,1562,36.1,1,25,1685759,LIVRE,0,,crc16=E0F4
1686759,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-66,1,3.02,19,0,0.0000,1562,36.1,1,25,1686759,LIVRE,0,,crc16=07F6
1687759,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-68,1,2.97,20,0,0.0000,1562,37.2,1,25,1687759,LIVRE,0,,crc16=2A34
1688759,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-63,1,2.92,21,0,0.0000,1562,36.7,1,25,1688759,LIVRE,0,,crc16=138E
1689759,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-63,1,2.92,22,0,0.0000,1562,36.1,1,25,1689759,LIVRE,0,,crc16=EEC2
1690759,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-67,1,2.84,23,0,0.0000,1562,36.7,1,25,1690759,LIVRE,0,,crc16=4C80
1691763,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-64,1,6.75,24,0,0.0000,1562,36.1,1,25,1691763,LIVRE,0,,crc16=3C20
1692760,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-71,1,3.51,25,0,0.0000,1562,36.1,1,25,1692760,LIVRE,0,,crc16=DF99
1693758,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-61,1,2.90,26,0,0.0000,1562,36.7,1,25,1693758,LIVRE,0,,crc16=8957
1694758,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-64,1,2.97,27,0,0.0000,1562,36.1,1,25,1694758,LIVRE,0,,crc16=331E
1695758,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-60,1,2.98,28,0,0.0000,1562,36.7,1,25,1695758,LIVRE,0,,crc16=8377
1696758,S,B,F2,A41,MESA,DES,CLOCK_A41_MESA_DES_R01,-60,1,2.90,29,0,0.0000,1562,36.7,1,25,1696758,LIVRE,0,,crc16=AC5E
