timestamp_ms,type,profile,phase,antenna,location,condition,run_id,rssi_dbm,ping_ok,ping_latency_ms,ping_seq,throughput_bps,plr_window,vin_mv,temp_c,link_state,boot_count,uptime_ms,marker,block,notes
185050,E,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,0,0,0.00,0,0,0.0000,0,0.0,0,30,185050,,0,START_RUN,crc16=6BBF
185136,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-52,1,2.80,0,0,0.0000,1562,36.1,1,30,185136,,0,,crc16=D942
185635,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-53,1,2.85,1,0,0.0000,1562,36.7,1,30,185635,,0,,crc16=BC41
186135,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,2.88,2,0,0.0000,1562,36.7,1,30,186135,,0,,crc16=C78F
186653,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-51,1,3.78,3,0,0.0000,1562,36.1,1,30,186653,,0,,crc16=410D
187152,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,2.76,4,0,0.0000,1562,36.1,1,30,187152,,0,,crc16=B342
187652,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-51,1,2.92,5,0,0.0000,1562,36.7,1,30,187652,,0,,crc16=524B
188152,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,2.88,6,0,0.0000,1562,36.7,1,30,188152,,0,,crc16=79F6
188652,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-51,1,2.88,7,0,0.0000,1562,36.7,1,30,188652,,0,,crc16=AA31
189152,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,2.56,8,0,0.0000,1562,36.7,1,30,189152,,0,,crc16=A22F
189651,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-57,1,2.92,9,0,0.0000,1562,36.7,1,30,189651,,0,,crc16=26AA
190151,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,2.87,10,0,0.0000,1562,36.7,1,30,190151,,0,,crc16=64E9
190651,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-49,1,2.85,11,0,0.0000,1562,36.1,1,30,190651,,0,,crc16=AE36
191153,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,4.74,12,0,0.0000,1562,36.1,1,30,191153,,0,,crc16=68A5
191651,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,2.88,13,0,0.0000,1562,36.1,1,30,191651,,0,,crc16=400D
192151,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-49,1,2.86,14,0,0.0000,1562,36.1,1,30,192151,,0,,crc16=5805
192651,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-56,1,2.83,15,0,0.0000,1562,36.1,1,30,192651,,0,,crc16=C3B5
193151,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-50,1,3.60,16,0,0.0000,1562,36.1,1,30,193151,,0,,crc16=7C3F
193649,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-56,1,2.87,17,0,0.0000,1562,36.7,1,30,193649,,0,,crc16=CD06
194148,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-58,1,1.97,18,0,0.0000,1562,36.7,1,30,194148,,0,,crc16=A4BD
194649,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-49,1,2.83,19,0,0.0000,1562,36.7,1,30,194649,,0,,crc16=FC17
195149,S,B,F1,A51,MESA,DES,WALK_A51_MESA_DES_R01,-59,1,2.95,20,0,0.0000,1562,36.7,1,30,195149,,0,,crc16=9E75
